kbg02**|너무 이뻐요♥♥     ♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥그리고 살때 한치수 더 큰걸루 사야할것 같아요ㅠ그래도 맘에 들어요
kys0101**|작아요! 엄마랑 언니랑 아빠랑 제가 입은거보고 종아리가 터질거같대요! 통통하신분들은 다시 생각해보시는게 좋을꺼 같네요~ 제가 산 옷은 반품하기 귀찮아 친언니에게 드립니다.. 언니만 개이득이네요.... 살을 빼고 말아야지...
har**|기본 롱 남장자켓으로 주머니도 있고 해서 편하게 걸치지 좋을것 같아요. 봄가을 간절기나 여름에 햇볕 뜨거울때 입으면 딱 좋을듯 하네요
jgb080**|예뻐요~~~후기가 너무 안좋아서 시켜놓고 조마조마했는데 제 마음에 다행이 들어용 근데 밖에는 어깨각진 거 말고는 다 좋은데 안에 부분이 쫌 마무리가 잘 안됐어요 근데 안이라 안보여서 대충 실 잘라서 입으면 되니까 상관 없어요 결론은 이쁘고 좋아용!!♡
hyj14**|꺼내서 만져보고선 엄청 부들부들 보드라워서 놀랐던 바지에요. 그리고 정말 스판 최고! 잘 늘어나고 입었을 때 엄청 편해요!
hyj14**|원하던 색감이어서 구매하게 되었는데 모직이어서 너무 얇지도 그렇다고 엄청 두껍지도 않고 딱 좋았어요. 디자인도 마음에 듭니다.
hyj14**|그린 색상의 목도리, 괜찮을까 항상 망설이다가 이번에 고고싱에서 구매를 했는데 어머! 사길 잘했어요! 길이는 길쭉길쭉해서 너무 마음에 듭니다!
hyj14**|색감도 실제로 보니 더 마음에 들었고 입었을 때 편해서 너무 좋았어요! 배송도 빠르게 이루어져서 정말 너무너무 만족합니다! 추천해요!
har**|남방이긴한데 앞에 단추가 일반 남방처럼 일렬로 쭉 있는게 아니고 자켓처럼 되있어서 왼쪽 오른쪽 다 단추를 끼울 수 있게 되있어요. 편하게 아무대나 입어도 좋고 겉기모라 얇은옷에 가볍게 걸쳐도 좋아요
har**|생각보다 재질이 너무 뻣뻣하고 길이 짧아서 핏이 별로내요. 재질하고 모양때문에 어깨 사이즈를 한층도 아니고 두층 업그레이드 시켜주는 매력을 가졌네요.
har**|살짝 짦은 감이 없지않게 있어서 스타킹이랑 입으면 괜찮지만 맨살에 입기엔 좀 위험할 것 같아요. 가슴부분도 생각보다 타이트 해서 좀 있으신 분은 불편할 것 같네요
har**|모직 재질이라 따뜻하고 기모스타킹에다가  입으면 딱 좋은거 같아요. 재킷과 바지 따로 아무대나 코디해도 편하게 입을 수 있어서 활용도 굿굿
har**|m이 품절되서 s로 샀는데 안작고 딱 이쁘네요. 니트같은거 안에다가 넣어도 불편한감 없이 편안하게 되있고 길이도 적당히 길어서 딱 이뻐요. 색상도 쨍한색이 아니라 차분하고 이쁘네요
har**|기본 니트로 아무거에다 레이아웃해서 입어도 이뻐요 편하고 색상도 검정으로 사서 아무대나 꾸민듯 안꾸민듯 입기에 딱 좋은거 같네요
har**|크롭타입으로 되있어서 다른 옷들에 비해 몸통길이가 짧아요 그래도 귀여운 느낌이 있어서 괜츈합니다. 몸통이 옆으로 넓고 팔에 연결되 있어서 가오리핏 싫어하시는 분은 별로 일듯하네요
har**|기본 박시핀 니트로 아무거에나 입어도 잘어울려요. 그런데 오버핏이긴 하지만 다른 기존의 오버핏에 비해 좀 큰감이 있어서 멜빵이나 딱맞는 스커트에 넣어 입었을때 정돈이 좀 덜되는 듯해요
har**|부들부들한 재질로 되어있고 핏도 입으면 살랑살랑하게 떨어져서 이뻐요! 그냥 바지에 입어도 잘어울리고 치마에다 입으면 여성미 레벨 업업
yjk0115**|생각보다얇아서 가을에도 겉옷없이 이니트하나만입어도 따뜻하구 이쁠거같아요 크림이랑 분홍색핬는데 둘다색깔짱예인데 분홍색이 ㄹㅇ 이ㅃ므 약간인데핑크색인데 사진찍어도진짜이쁘고 코트랑입어도진쩌이쁘고 얼굴발그레해보려요 기본템으로 사기좋은듯 핑크는 사진보다조금더 어둡구여 둘다밝은색이라그런지 약간비침있어요
har**|타이트하게 달라붙는 핏이라 좀 부담스러울수도 있는데 막상 입으면 이쁘게 붙어서 좋아요! 얇아서 가벼운데 따뜻해서 굿굿~
kjb9808**|우선 저는 롱패딩이 무광,유광중에서 유광에 더 가까웠던거 같아요~ 이건 개인적인 생각이고 다른 리뷰에는 먼지묻거나 그런 제품이 있던거 같은데 제껀 아니였어요. 그리고 어깨가 부각되는거 같아요.어깨가 좁으셔도 부해보이실거 같아요. 저는 어깨 부각되는 것을 안좋아해서..콤플렉스라 지퍼를 내리면 부한게 조금 괜찮아질거에요.제 의견은 이 옷안에는 밝은색을 입으시는게 좋을거 같아요~
yjk0115**|입으면 간지러울것같았는데 막상 입어보니까 따뜻하구 보들보들해서 너무좋아요 ㅎㅎㅎ 처음엔끈이되게길길래 뭐지 잘라쓰는건가 싶었는데 묶어보니깐 너무이쁘더라구요 완전여성스러음 체고시다 바지랑입어도이쁘고 치마랑입어도이뻐요 흰니트 밋밋할수있었는데 리본있어서 너무좋아여 이건 사야해!!!
dbsskdud50**|훠우....정말 이뻐요 ㅠㅠ 기장이 긴걸 좋아하는데 살짝 엉덩이 덮어요!!! 노란색도 어디에도 잘 어울릴 거같아요 ㅠㅠ 성공한 니트 ㅎㅎ 팔부분은 길어서 더 귀여워보입니다 ㅎㅎ
dbsskdud50**|막 두껍진 않지만 가볍게 보들보들하게 입을 수 있어서 좋았어요!! 파란색 색감도 라이트해서 더 귀여워요 ㅎㅎ 단점을 살짝쿵말하지면 자크?가 조금 따가워요 ㅎㅎ 다른건 다 좋았습니다~~ 배송도 괜찮았어요!!! 손목 부분도 잡아줘서 딱 좋구요 무엇보다 안감이 보들보들해서 입을 때 기분이 좋아요 ㅋㅋㅋㅋ 색 과감하게 고르셔도 될 거같아요~ 저는 거의 블랙 계열만 입는데 이번에 고민하고 골랐는데 잘 산거 같습니다~!!
dufma06**|이게 들어가?!?! 할정도로 작음ㅋㅋㅋㅋ개작음 진짜ㅋㅋㅋㅋㅋㅋ될대로되라 하고 끼어 넣음ㅋㅋㅋㅋㅋㅋ근데 다 들어가데?!?!일단 다른 바지들은 입으면 허리 뒤에가 뜨는대 이건 그런거 1도 없음ㅋㅋㅋ왜냐고? 완전 ㅋ짱짱함ㅋㅋㅋㅋㅋㅋ그건 인정ㅋㅋㅋㅋ근데문제가생김ㅋㅋㅋㅋㅋㅋ단추가 터질꺼같음ㅋㅋㅋㅋㅌㅋ귣걸바닥이랑 의자에 앉아봣는데 왠열~~~ 숨겨진 뱃살들이 바지밖으로 티어나오기 시작함ㅋㅋㅋㅋㅋㅋㅋㅋㅋ망햇다싶음 진지하개 M으로 교환하려다 걍입음ㅋㅋㅋㅋ어제받고 오늘입어봣는데다리는 진짜 편함!! 하지만 밥먹고나니꺼 배가 사알짝 함듬ㅋㅋㅋㅋㅋㅋ단추 풀뻔^^ 완전 개씐나 퇴근하고 일단 누어서첫후기남기는중~~~^^ 고고싱 짱~~~❤귣걸ㅋㅋㅋㅋㅋㅋ잘입을께용ㅎㅎ
yjk0115**|색깔이뻐요 ㅎㅎㅎㅎ 여리여리해보이고 여성스러워보야염 청바지랑입으면 잘어울릴거같아요 어두운색이라 무난하게 데일리로 자주입을수있을거같아요 이쁘게잘입으께요 ㅎㅎ
yjk0115**|색갈이뻐뇨 근데쪼끔꾸겨져있았지만 다림질하거나 잘 개놓으면 될거같아요 길이도길고 편해요 근데 허리가좀헐렁헐렁해서 ㅜㅜㅜ위에 한번 접고입어야되요 그거빼곤짱 ><잘입을게욥
dbsskdud50**|음...가방안에 가루가 동전가방에 뭍을 정도로 떨어져요 ㅠㅠ 하지만 귀엽게 맬 수 있어서 뭔가 플라스탁 종류만 넣고 쓰면 괜찮을거 같아요!!!
rlalfsk**|처음 보자마자 진짜 짧다! 하고 길이가 딱 맞겠다 생각하고 입어봤는데 세상에.. 길이가 좀 짧네요ㅠㅠ!! 155 버전이라해서 조금 길거나 딱 맞을줄 알았는데 조금 짧아서 당황했어요..! 근데 사람들이 천국바지를 좋아하는 이유가 있었네요!! 완전 잘늘어나서 허리부분도 너무편하고 딱달라붙는데도 불편하지 않았어요! 길이가 좀 짧은건 제 다리가 길어서 그렁가 하고 생각하려구요! 예쁘게 잘입을게요❤
a9asd**|존예 대존예♡♡♡산옷중에 제일기다리고 기대했던 건데세상이쁘고좋아요진심..ㅠㅜㅜㅜ❤어깨핏도 딱적당하게 여리하게떨어지고색도 이쁘고 길이도 치마에 넣어입기 딱이에요ㅠㅠ두께감은 얇아서 봄여름용 예상하고 샀습니당고이모셔놧다가 잘입을께요!!♡
coao**|색깔별로 다사고싶어요ㅎ 두개씩 ㅎㅎ 그냥무난하게 색깔로 포인트주기도 좋아요 양말 싸고 좋음!!~~많이파세욘~~~
a9asd**|레이어드용 이너로 샀어요!갑자기 레이어드티가 사고싶어서 엄청 고민하다가 고고싱에서 샀어여ㅋㅋㅋ화면과 같이 팔 겨드랑이쪽이 심하지않은 가오리핏으로떨어지고 팔기장은 딱맞는 길이감이엇어요 좀 길엇으면하고아쉬웟어여ㅠㅠ제일 맘에든건 제가 목이 가늘고 길지를못해서ㅠㅠ 목에 여유가잇엇음 햇는데 딱 좋게 만들어졋더라구요♡폴라부분을 한번만 접어서 입어도 이쁘고 두번접으면 반폴라느낌으로도 괜찮네요☺잘입을게요!
coao**|코트가 엄청길고 엄청두꺼워서 대박따뜻근데 떡대가 ㄷㄷㄷ.. 이쁘긴한데ㅡ너무 뚱뚱해보여요 ㅠㅠㅠ 곰같은느낌? 그래도이쁘긴함
coao**|생각보다 그렇게따뜻하지는않아요 두껍긴한데 별로 안따뜻한? 엄청편하긴한데.사이즈 미스 ㅠㅠ 이렇게ㅜ잘늘어날줄알았으면 에스살텐데 아쉽 아쉽 그냥나쁘지않은 기본검은바지라 입고댕길만해용
a9asd**|레이어드용 이너로 샀어요!갑자기 레이어드티가 사고싶어서 엄청 고민하다가 고고싱에서 샀어여ㅋㅋㅋ화면과 같이 팔 겨드랑이쪽이 심하지않은 가오리핏으로떨어지고 팔기장은 딱맞는 길이감이엇어요 좀 길엇으면하고아쉬웟어여ㅠㅠ제일 맘에든건 제가 목이 가늘고 길지를못해서ㅠㅠ 목에 여유가잇엇음 햇는데 딱 좋게 만들어졋더라구요♡폴라부분을 한번만 접어서 읿
a9asd**|이런 배색의 남방이 없어서 여리한 핏을 기대하고 샀습니다원단 질이야 믿고 샀으니 당연히 깔끔하고 좋앗는데손목 부분이 생각보다 많이 타이트한 디자인이더라구요ㅠㅜ제가 덩치도크고 손도 커서 그런걸수도잇지만단추를 풀지않으면 입고 벗을수가없네요핳핳하8ㅅ8어깨부분도 예상보다 더 여유가있어서 살짝 부하게 뜨는 느낌두 들지만 입다보면 숨이 죽어서 이쁘게 잡힐것 같아요~깔끔하게 매치해서 입어봐야겟어요☺
1758085637813313**|키작으신분들 저는 반품해요  이 옷자체는 예뻐요 팔길이가 길어서 접으면 괜찮을줄알았는데 별로더라구요 팔폭이 진짜 넓어요 재질은 먼지잘붙고 길이는 엉덩이 반정도입니당 그냥 전체적으로 폭이 되게 커용!!
a9asd**|다른 남방 구매하면서 끼워샀어요!저번에도 느꼇지만 세일가로 나온 옷들도 질이 좋아요ㅠㅠ색도 이쁘게 빠졋구 핏이 아주 베이직핏이에요하비인 제게는 끝단이 따아악 맞더라구여ㅋㅋㅋ그래서 덕분에 치마에 넣어입으면 엄청 날씬해보이게 떨어져요☺잘입을게요♡
csm02**|완전 이거산거 후회안햐뇨!!!!친구들은 스님이라고놀리긴하는디 전이쁜거같아요!!!!!다잘어울리고 좋앙ㅎㅎㅎ
rlathdus71**|얇은데 이뻐요!! 흰색보다 정말 크림색이예요 뒷목부분이 올라와있어서 포근하고 크기도 많이 안크고 좋아요 사진그대로 나오고 특별한 문제는 없는거같아서 자주입을듯해요 편하고 무난하고 그래요
csm02**|엘사서 다행이지 엠 샀으면 미어터질뻔햇네용...ㅠㅠㅠㅠㅠㅠ그래도 진짜다잘어울리고 다다 넘넘 이뻐요!!!!강추
rlathdus71**|원피스는이쁜데 안에 속치마가 되게 부스럭거려요ㅋㅋㅋㅋㅋㅋ 쿠킹호일인줄 진짜 걸을때마다 부스럭거리는데 소리가 작은게 아니고 커서 옆사람도 다들릴정도예요 길이는 적당하고 전체적으로 무난해요 지금은춥고 날좀풀리면 입기이쁠듯
csm02**|완전 좋아요!!!!!!강추강추 연청색이여서 다잘어울리고 넘넘이뻐용!!!!구매후회없아오!!!!!!!!
zxc64**|귀마개 너무 귀엽고 예뻐요 니트 귀마개 갖고 싶어서 계속 찾는데 고고싱에서 제일 싸고 예쁜 거 사서 너무 좋아요 요즘 하고 다니는데 귀가 따뜻해여 예쁘고 좋아여!!
rlathdus71**|235사이즈 살껄그랬어요ㅠㅠ 다른건 다 맞는데 앞코가 둥글어서그런지 엄지발가락부분이 자꾸 닿아서 아파요 평소에는 230신었는데 한치수 크게사야 맞을꺼같아요!!!  푹신해서 오래신웅수 있을꺼같고 앞굽도 높아서 불편하지않아요
rlathdus71**|카라멜 브라운색상구입했는데 처음보자마자 진짜 당황했어요 남자옷입는정도로 사이즈가 커요 촉감은 진짜 하나만입어도 될장도로 부드러운데 사이즈가 너무커서 긴팔원숭이같은기분..? 소매접으면 여리여리해서 이뻐보이긴해요 전체적으로 커요!
rlathdus71**|생각보다 그냥그래요... 안이쁜것도아니고 이쁜것도 아니고 되게 애매한..? 네가 마른편이어서 에스사이즈를 샀는데도 허리가 좀남아요  상의 넣어서 입으면 딱맞을꺼같아요!!! 사진엔 길이가 약간다르게 나왔는데 실제로는그냥 에이치마같은기분
hyl65**|엄청 박시해요 그래도 겉옷이니까 크게 신경은 안쓰여요 다만 어깨선이 너무 강조되어있어서 어깨가 커보이는 부분이있어서 좀 아쉽네요 화면상으로 보이는옐로우끼는 별로 없어요 ㅠㅠ
hyl65**|화이트 색상 구매했어요 목 부분도 엄청 짱짱하고 박시하지 않고 딱 맞아서 그렇게 부해보이지 않아서 좋네요!살짝 구멍이 뚫려 있아서 안에 민소매나 히트텍을 꼭 착용하는 것 빼고는 가격대비 정말 잘산 것 같아요
1703633143281203**|http://m.blog.naver.com/gmlwl_ji/220913519324 후기썼습니다
hyl65**|이뻐요 근데 발목이 너무 시려서 날이 좀 풀리면 입어야겠어요 양말 신고 입어도 길이가 괜찮아서 입고 다닐만 해요 사이즈도 딱 맞고 색감도 사진상보다 더 연해서 맘에 들어요 다만 아쉬운게 지퍼부분이 너무 뻑뻑해서 올릴때마다 힘들여야 한다는게 아쉽네요
zzang75**|정말 따듯하고 정말 예쁜 상품이에요 ㅠㅠㅠㅠ날이 좀 풀리면 스키니에 단품으로 입으면 좋겠어요.길이가 많이 길지않아서 빼 입기도 좋고 도톰해서 따듯해요! 커프스 부분이 좀 넓은데 접어서 입으면 예뻐요 ㅎ
zzang75**|시즌오프 세일해서 저렴하게 구매했어요 :) 체구가 작은 편인데 너무 크지않게 맞는 핏이라 편하게 자주 입게되는 것 같아요 ㅎ소매도 짧지않아서 맘에들어요! 보풀이 조금 잘 생기는 거 같지만 ㅠ 그래도 따듯해서 괜찮네요 ㅎ
kyu**|컬러두 실물이 더 이쁘고 길이도 적당해요! 무게는 꽤 두툼한 편이구 핏도 너무 이뻐요~~ 이쁘게 입을께요 첫구매인데 너무 만족합니당
kyu**|저 되게 뚱뚱인디 사이즈넉넉하네요ㅎㅎ 길이도 적당하구 넘 이뽀요ㅎㅎ 배송도 이틀안에왔구 넘 맘에 들어요!! 첫구매인데 대박만족이용
dn061**|니트계열중 블루색깔이 없어서 살까생각했는데 잘 산거같아용~ 사진보다 실물이 훨이뻤어요 구매잘한거같아여~~재질도 좋네용
540978522749579**|핑크색 살까 말까 고민하다가 샀는데 예쁜거같아요! 옷핑크가 무슨색인지 몰랐는데 인디핑크인거같네요! 목쪽이 쫀쫀하게 되있어서 늘어날것 같지는 않고 디자인도 괜찮고 예뻐요! 제가 키가 커서 그런지 좀 짧은감이 없지않아 있긴한데 길이는 항상 감수하고있는 거라 뭐 딱히 신경쓰이는 부분은 아니였습니다 !-! 예쁘게 잘입을께요 ;) 감사합니다 !
540978522749579**|저번주 화요일에 입금하고 오늘 개별처리로 니트만 받았습니다 :) 크림색 샀는데 사진에 있는 그런 크림색은 아니구요 오트밀색 같아요 <3 비침 꽤 있어요 !디자인은 예뿝니다 자주 입을거같아요 :) 예쁘게 잘 입을께요 감사합니다 ;)
alstj4**|색깔이진짜이뻐요 여기서산 양털청자켓에입으면진짜이뻣어요!!!!!다음에도자주이용할께용 고고싱짱
alstj4**|일단배송은빨랐구용 목부분이 되게쫀쫀해서약간답답했어요근데 되게좋았어요~~~~~고고싱앞으로도자주이용할께용
ish89**|블랙이랑 카키요 ~~고고싱배송빠른거 잘아는데 이번엔 좀늦아서실망할뻔햇지만 옷이이뻐요! ㅋㅋㅋㅋㅋㅋㅋ편하고 브이넥인데 완전 파이지도않아서 입기편하고흰색시킬걸그랫어요 너무이쁩니다 ~ 고민하지마시구사세영
ish89**|바지 M사이즈 시켯어요 딱 좋더라고요 바지 떨어지는거랑 다이뻐요!고고싱 배송빠른거 아는데 이번엔 좀늦아서 실망할뻔햇지만 옷이이뻐요 스판끼가 잇어서 편해요! 고민하지마시구 꼭 사세용
qkqdh33**|딱보면 넘 예뻐요!! 기장이 그렇게 긴건아니고 적당해여! 하늘색도 사고싶어요ㅠㅜㅠ 무난하게 스키니랑 입으면 될 것 같아여 ㅎㅎㅎ고고싱 세일할때 싸게 사서 넘 좋습니댱 ㅎ헿 지금 기다리는 상품도 빨리 왔으면 좋겠어여ㅠㅜㅜ 잘입을게용
kds42**|루즈핏이라 크고 길어요이런옷이 입고싶었는디 키가 작은편이라 옷에 파뭍힝거같이 보이긴 하지만 싸게 잘산듯해요브라운섞인 회색같이 보였는데 실물은 회색에 브라운 한방울이네요몇번 입다보면 어울리게 되겠죠뭐싸서 단추가 헐렁할줄 알았는데 잘 달려있네요 굿
qkqdh33**|약간 푸른빛 도는 그레이???같은 색이에여ㅎㅎ 재질은 맘에드는데 정전기가 너무 심해여ㅠㅡㅠ속치마 따로 입어야겟어여...그리고 생각보다 길이가 많이 긴편은 아니에요! 저 키가 158인데 무릎조금 넘어요 ㅎㅎ그래더 코디 잘 하면 이뿝니댱♡ 잘 입을게용!
woohj09**|158/41입니다! 좀 많이 박시해요일주일정도 걸린가같아서 솔직히 너무 화났었어요.. 그래도 예뻐서 용서 그리고!! 저 모델분사진색상은 아니에요 ㅠㅠ 좀 베이지색?아이보리색? 택배오자마자 뜯어서 집에서 사진찍고 그랬네여 하하 잘입을게요❤
wjddo**|역시 새옷이라 냄새가 나긴 나요ㅎㅎ 빨래하고 입어야할 거 같네용 그리고 아이보리 느낌인 줄 알았는데 베이지에 가까운? 아이보리인거 같아요! 사실 아이보리인 줄 알고 샀는데 베이지에 가까운 아이보리라서 놀랬네요.. 그래도 어느 옷에든 다 잘 어울릴 거 같아요~ 특히 목 부분이 엄청 맘에 들어요! 좀 짧은 감이 없지 않아 있지만 입고 다니는데엔 지장이 없으닌까 잘 입고 다닐게요!
kds42**|으 홈페이지 사진에서 예뻐보였는데 입으니 그리 예쁘진 않아요 나한테 안어울려서 그런듯해요두껍지는 않은데 하자없고 짱짱해요그런데 결정적으로 옷에서 암내나요ㅠㅜㅠ먼지냄새같은게 많이나요
wjddo**|바지 26정도 입는데 허리가 크긴 커요.. 허리 좀 줄이고 입어야 할 거 같아요ㅠㅠ 그리고 밑위길이가 좀 길어서 배기느낌이 나는 거 같아요 바지 밑단은 정말 좋은데 밑위길이가 좀 아쉽네요ㅠㅠ 그리고 너무 얇아서 초여름이나 여름에 입어야 할 거 같아요~ 주름도 많이 지는 편이고.. 많이 아쉽지만 허리 줄이고 초여름쯤에 입을려구요~ 역시 검은 바지는 흰 옷이랑 어울리네용 감사합니당
kds42**|이번에 니트를 여러개 샀는데 그 중 제일 싼거예요근데 제일 마음에 들어요 무난하고 카키색골랐는데 색도 예뻐요 길이도 괜찮고 약간 헐렁해요
kcr34**|오 너무 좋은것 같아요 입기도 편안한것 같은 느낌ㅋㅋㅋ 어 자주 살것같은느낌이고 색도 맘에들어요 고고싱짱ㅁ! 열일하세요!!
kds42**|키가 작은편이라 허리도 다리도 짧아서 크롭을 좋아합니다팔은 붙고 몸부분은 약간 헐렁해요쫌 안어울리는거같긴한데 목부분도 두툼하고 팔도 안길어요 짱짱해요근데 몸부분에 밑단 모양이 살쪄보이는 모양이예요
yje91**|스윗자몽색 구매했습니다. 같이 착용한 하의 천국바지 기모버전입니다.우선 배송은 적당했고, 막 두꺼운 재질의 니트가 아니라저는 마음에 들었습니다.주황색 느낌날까 살짝 걱정했느데 갈색이라서 맘에들었어요.
lgh8**|배송은 굉장히 느렸어요! 출고가 늦게되어 거의 일주일만에 받았어요.처음에 바지를 폈을때 허벅지 부분 통이 커보여서 큰거 아닌가 싶었는데 다행히 크지는 않네요. 다만 다리 라인을 잡아주지는 않는거 같아요. 한 사이즈 작게 입어도 됐을거 같아요! 그래도 이쁘게 잘 입겠습니다.
kds42**|니트를 인터넷으로는 처음샀는데 너무커요근데 짱짱하고 색도 예뻐요키가 작아서 옷을 작게입는편이긴 한데 최근에 살이 3~4키로 갑자기 쪘는데도 옷이커요ㅠ 길이도 너무 길어요 팔도 길고 엉덩이 다 덮어요 당황스러워요그래도 입다보면 괜찮아질것같기도하고..
lgh8**|배송은 굉장히 느렸어요! 출고가 늦게돼서 거의 일주일만에 받아봤네요. 그치만 빨리 받아봐야 하는건 아니였기 때문에 괜찮아요:)무난한 그레이 색을 샀는데 정말 부드럽네요! 어떤 옷이든 잘 매치될 것 같아요. 길이도 길고 폭도 넓어서 이쁘게 잘 두르고 다닐 수 있을 것 같습니다.
wjddo**|새 신발이라 그런지 냄새가 좀 많이 나는 거 같아요ㅠㅠ 생각보다 앞이 뾰족하긴 하지만 이쁘긴 이쁘네요! 운동화 230 신고 발볼 적당한데 고고싱에서 산 신발들은 235 샀었더니 딱 맞았어요!! 운동화 사이즈보다 한 사이즈 크게 사시는게 좋을 거 같아요~ 잘 신겠습니다^^
xxx121x**|이것도 입기로했는데 불량와서 교환신청하려고요 이것도 11월 말에 샀는디 저는 키가 작아요 그래서 옷빨이 잘안받아요키좀 크고 싶어요
soyeon78**|예뻐요ㅎ 그리고 굉장히 편한것 같아요 밴딩처리되어서 편하고 모직이다보니 따뜻한건 아직 잘 모르겠지만 '따뜻해 보인다'라는 느낌을 주는것 같아요! 색은 화면이랑 비슷한것같고 너무 좋네요ㅎㅎㅎㅎ
daisy03**|빠른 배송 요청 드렸었는데요 상담두 너무 친절하게 잘해주시며생각보다 더욱 빠르게 발송 해주셔서정말 감사 했었습니다그런데 핏까지 너무 예뻐서 더 좋았습니다^^예쁜옷 마니마니 올려놔 주세욤^^
wogml8**|모델분이 입는거 보고 샀는데 목까지 올라와서 한겨울에 춥지도 않고 되게 좋아요!! 색깔도 맘에 들고 검은 바지랑 입으면 이뻐요!
soyeon78**|이뻐요! 가격도 지금 사는거면 너무 좋고ㅎㅎ 우선 색은 화면에서 봤을땐 약간 붉은끼가 있을것 같은데 그냥 브라운이구요 길이는 좀 짧네요ㅠ 저도 앞의 후기봤는데 실로만 되어있어서 약해보이는건 사실이구요 입었을때 길이도 그렇고 막 편하진 않은것 같아요ㅎㅎ 근데 정말 예뻐요ㅎ 뭔가 쓴 내용이 '별로에요' 라고 말하는것 같지만 저는 매우 만족합니다♡ 아아 사이즈 잘보고 사세용
yeji85**|완전 제가 원했던 핏이고 색상도 그렇고 진짜 편하구 허리도 맞춤인줄... 항상 바지사면 허리가 조금씩 큰편인데 이건 딱맞아서 너무 좋아요 ㅠㅠ 게다가 바지가 너무 편함 계속 이것만 입고 댕길거같아요ㅎㅎ
yeji85**|목부분이 쫀쫀하구 팔통이나 몸은 넉넉해서 편하구 좋아요 엄청두꺼운 니트는 아니여서 요즘에는 히트택입고 이고 입고 다닙니다 색깔별루 구입해도 좋을거같아요!
cjs56**|검정색 이외에 다른 코트 구매하려고 고고싱 한 번 들어와봤는데 아우터 Top5이길래 후기 좀 보고 바로 질러버렸어요 후기가 10개 중 9개나 좋아서 3만원 코트가 설마 저 정도겠어?하는 의심 반 예쁠 것 같다하는 기대 반으로 기다렸는데 역시 고고싱이 인기도 많고 이 코트도 인기 많아서 주말 포함 4일 정도 기다렸습니다 근데 제가 인내심이 없어서 고고싱에 전화해보니 직원분이 부분배송이라도 해드리겠다며 착하게 말씀해주신 거에 1차감동! 부분배송이랬는데 다른 주문상품까지 보내주셔서 2차감동! 택배가 드디어 도착해서 받는데 코트가 담긴 봉투가 저는 코트랑 다른 옷까지 합쳐서 온 줄 알았는데 코트만이더라구요.. 두께에 3차감동! 뜯어보니 사진 색감과 실물 색감이 99% 똑같아서 4차감동ㅠㅠㅠ 두께 처음엔 생각했던 것보다 두꺼워서 너무 놀랬고 입었는데 더울 정도로 두꺼워요 3만원에 이런 퀄리티라니 ㅠㅠㅠ진짜 너무 예쁩니다 꼭 사세요 여러분 꼭!!!!!!!!!!!!! 그리고 배송 지연 됐다며 혜자쿠폰? 문자로 알림 주신 선의에 5차감동ㅠㅠ 앞으로 옷은 고고싱에서만 사야겠다고 다짐합니다 사랑해요 고고싱ㅠㅠ
dlghwjd6**|처음에 그린이 사고 싶었는데세일하길래 밑져야 본전이야 하면서 머스타드 샀습니당쨍한 노란색이라 애같아 보이면 어떡하나 했는데이름 그대로 오리지널 머스타드 색 입니다품이랑 팔통은 낙낙하고 길이도 적당해서넣어 입으실 분들도 부담 없으실 것 같아요보풀이 나려나 모르겠는데지금까지는 만족 합니당!목 부분도 짱짱해서 쉽게 늘어날 것 같지 않네요싸게 잘 샀습니당감사합니당
y315**|좀 구겨져와서 스팀다림으로 폈더니 새옷됐어요.옷은 도톰하고 핏도 이쁘지만 색상이 원래 좋아하는 색이 아니라 그런지 별로 맘에는 안들어요.너무 저렴해서 같이 구매한건데 가격대비는 완전  괜찮아요.피부 하얀분은 참 이쁠거같네요.
meere1**|생각보다 니트는 두꺼워서 따뜻한 것 같은데 소매가 짧네요8부?7부?정도 되는 것 같아요그리고 생각보다 짧네요....;;
y315**|얇아요~~//그리고 구겨져와서 그팀 다림으로 쫙폈더니 완전 새옷됬어요.옷은 박시한 옷이 아니지만 색상이 너무 예뻐서 봄에 입으면 이쁠거같아요.세일해서 이쁜옷 너무 저렴하게 잘산거같아요.
pjn01**|겨울엔롱패딩 웰론100% 완전별로야ㅋㅋㅋㅋ사실반대임 고고싱에서 평소에도 아우터를 자주사는편인데 느낀점이 아우터제품은 가격도 갠찮고 고급지게 만드는거 같아요....!박음질처리도 잘되있고!색감은 화면보다 실제가 조금.밝은거같아요그리고 포토후기 1위ㅎㅎ 어제 후드티에 간단히 걸치고 밖에 나갔는데 웰론이 빵빵하게 들어 있어서 따뜻하더라고요 안에있을때는 좀 덥더라구요 고민하는분들 사세요
meere1**|세일해서 샀는데 예쁘긴 예쁘지만 솔직히 너무 짧아요.....속바지를 입었는데 속바지가 보일 정도에요고민하고 사시길;;
y315**|박시한 스탈이고 소매가 이뻐요.생각보다 두툼해서 봄 가을 겨울  모두 예쁘게 코디 할수있을거같아요.
dhqhgus04**|배송때문에 별한개빼구요 옷은 너무이뻣어요ㅠㅠ 진짜 존예보스탱이,, 고고싱에서 산 치마랑 같이 코디해서 입으니까 이뻐요ㅎㅎ 아일렛이라 더 여성여성해보이고 이쁜것같아요♡
