wlghclg**|넘나예뻐요>< 다음에도 또 사입고 싶어요 색깔별로 소장하세요ㅜㅜㅜ
hanadulset**|옷을 쫌만 더 빨리 샀더라면 이쁘게 입었을텐데 지금은 너무 추워서 이우터 입었을 때만 입어요~ 하늘하늘해서 이쁜데 기장은 애매해서.. ㅎ
ey23**|똑같은 옷만 색상다르게 세개 샀는데 핏이예뻐서 테니스치마랑 입어도 엄청 예뿌고 청바지에만 입어도 예쁘고 그냥 맨투맨 자체가 핏이 예뿜~! 맨투맨은 이거 돌려서 ㄴ입는듯ㅋㅋㅋㅋㅋ
ey23**|편하긴 이바지가 제일 편함 오년도 넘었나 오래전에 한번 샀엇는데 가랑이가 찢어질때까지 입다가 몇년만에 또사는구임 ㅎㅎㅎ 따른바지도 여러개 사봤는데 이게 젤 갑인듯~!
essw**|모델언니 핏이 안나오네여ㅠ댓글처럼 이장님느낌도살짝나고ㅠ어깨깡패,,,, 생각보다 두껍고 빳빳해요ㅎㅎ흐물거리는 여리한느낌의 니튼줄 알았는데
1569311036693642**|9월 20일에 주문했는데 얼마전에 받았어요ㅎㅎ 기다린만큼 너무예쁘네욥ㅎㅎ 제키가작아서 큰도전이였는데 너무예쁘고 쌀쌀한지금날씨랑 딱맞아서 좋습니당ㅎㅎ 잘입을께요ㅎ 특히옆에 트여있는게 안답답해보이고 포인트도되고 예뻐요ㅎㅎ그리고 클렌징티슈..이제안주나요ㅜ 클렌징티슈오는게 큰낙이였는데ㅜㅜㅜ
essw**|그냥기본티에요ㅎㅎ 생각보다 목이 너무조여요어깨넓어보여요,,,뭔가 내복같기도나중에 겉옷안에 이너로는좋을듯ㅎ
ruby**|재질이 생각했던 재질이 아니라 순간 당황했어요ㅎㅎ 약간 반질반질한 재질이고 길이도 적당해서 입기 괜찮았어요. 그리고 밑으로 갈 수록 슬림해져서 괜찮은 것 같아요.
kkls2010**|아 이거 상체가길어서 원래 긴나시티로 레이어드할려고했는데 ㅠㅠ안보이더라구요. 그래도 입으면 이뻐서 만족합니다.!
kkls2010**|ㅠㅠ크으 완전 제스타일이에요 생각보다 상의부분이 길긴하지만(제가원한핏에서) 그래도 적당한길이라 좋습니다. 모자도 커서 쓰면 이뻐영!!
kkls2010**|저 트임같은 부분이 다리를 날씬하게 돋보여주는것같아서 매우좋았구요 앉을때 피는거 주의하셔야되구요 엉덩이때문에 m 사시는분들은 허리가 남으셔서 옷이 조금씩 돌아가실수있습니당.
ruby**|친구가 이거 입으면 귀여울 것 같다고 해서 두고두고 장바구니에 뒀다가 이제 겨우 샀는데 정말 사길 잘 한 것 같아요! 후기에서 얇다고 해서 좀 그랬는데 막상 받아보니까 막 그렇게 얇지도 않고 적당했어요. 길이도 무난했고 귀여워서 자주 입고 다닐 것 같아요ㅎㅎ
yeagar**|골반부터 허리트임이 아주 특이하고 이뻐요~ 길이도 너무 길지도 않고 너무 짧지도 않고 딱 적당한거같아요! 흰색도 구매하고싶을정도로 만ㄴ족해요! 아래 바지에다가 같이 입으면 좋은 코디가 될거같아욤 이옷도 만족합니다! 고고싱짱~
bitna43**|포토후기입니당:)우선 옷은 길지않구 적당한것 같구요박시해서 데일리로 편하게입기 좋은것 같아요!~다른색상도 있다면 구매의사있습니당^.^아쉬운점은 안감이 약간 까슬까슬 ?합니당..ㅠㅠ후드티 이정도가격에 퀄리티도좋구 만족합니당~데일리
tngusghkdl**|예뻐요❗️❗️ 오래 기다린 보람이 있네요 남방 사고 싶어서 바로 질렀는데 진짜 너무너무 예뻐요ㅠㅠㅠㅠ 요새 추워져서 많이 입고 다닐거 같아요❗️ 진짜 고민하시는분들 고민하지마시고 꼭 사세요!
ruby**|크기도 적절하고 색감도 무난하니 괜찮은 것 같아요. 안의 재질도 나쁘지 않구요.. 보통 후드티랑 비슷한 것 같아요. 앞으로 잘 입겠습니다~~
khk73**|일단 배송은 왅ㅈ전 빨라ㅛ는데 옷은 생각보다 별로였ㅇㅓ요 후기가 다 좋아서 엄청 기대했는데 발목도 딱 안달라붙고 허리까지 안올라외서 ㅜ그래도 따뜻하고 신축성 좋네여ㅛㅍ
yeagar**|맨투맨은 사진처럼 엄청 박시해요! 키작은분들에겐 원피스일수도 잇을거같아요 그리고 두꼐도 되게 두꺼운 편이라서 가을뿐만아니라 겨울에도 부담없이 입을수잇다는게 장점인거같아요~ 뒤는 모델언니가 입은거 그대로 글자막적혀잇구여 이가격에 구하기 힘든맨투맨인데 너무 좋아요~~
khk73**|진짜진ㅉ자 좋아여 완전 쫀쫀하고 치마 짧을까봐 걱정했는데 길이도 괜찮고 이뻐여어ㅛㅠㅠㅠㅠㅠㅜㅠ 어디든 무난하게 잘 어울릴꺼 같아요~
khk73**|배송이 이틀만에 왔어ㅓ여ㅡ요그리고  진짜~~~따뜻해요 색도 이쁘고 스키니에 입기 좋아요 막 큰건 아니고 약간 어중간한 크긴데 그래도 이뻐요
khk73**|일단 배송이 이틀만에 와서 놀랐어요ㅕㅎ 생각했던 거랑 약간다른데 이뻐요 근데 냄새가 너무심해서 세탁하고 입어아 될꺼같ㅇ아여  이뻐요
ruby**|버건디 색깔이 예쁘고 재질이 이럴 줄 몰랐는데 정말 부드러워요~ㅎㅎ 라벨 포인트도 괜찮고 정말 앞으로 자주 입을 것 같아요!!
yeagar**|타이트한게 진짜이뻐요! 줄무늬가 튀어서 그런지 가지고 잇는 옷들중에서도 제일튀고 이뻐용 사이즈가 딱 적당하게 맞고 이게 늘어나는 제질이라서 매우 편해요 소매부분의 길이가 좀 긴편이고 옷은 전체적으로 짧아요~ 사길너무잘한거같아요 추천템!
bitna43**|포토후기3등이요:D옷이 너무예뻐요~ 넥라인 아쉽다는평있었는데저는 괜찮아용!! 재질도보들보들하구요 조금 짧을것같아서 걱정했는데 안에 넣어 입기엔 딱인듯합니다~아쉬운점은 배송이 조금 늦은감있네요^.^헌터 단가라티 추천합니당♡.♡
yeagar**|팔부분트임이 이뻐서 보자마자 바로 구입햇는데 역시나ㅜㅜ 진짜 이쁘네요 일단 데일리로 편하게 입기가 좋은거같아요 부담안되고 갈끔한 심플한 옷이에요 길이는 엉덩이를 약간 덮어주는 정도에요ㅡㅜ 그닥 길진않아요~ 그래도 너무 만족스러운 옷이에용
yeagar**|바지스타일이 너무마음에 들어요~ 찢어진부분이 마음에들어서 삿는데 사길 너무 잘한거같아요ㅠㅠ 가격이 엄청 저렴해서 더 좋구요 후회안해요~ 가을겨울용으로 입을수잇어요 아주만족합ㅂ니다! 고고싱은 항상 노후회~ 이쁜바지 감사해용6_6
ruby**|앞에분이 언급을 안하셨는데... 포토후기 2등 맞죠....? 후드가 정말 귀여운 것 같아요!! 기모도 부드럽고 베이지 색도 무난하고 괜찮아요. 그리고 길이가 짧은 것 고려하고 사긴 했는데 진짜 짧으니까 당황스러웠어요. 하지만 그게 매력인 것 같아요ㅎㅎ 앞으로 자주 입을 것 같은 느낌입니다!!
ruby**|포토 후기 2등이에요~~ 기모 재질이라 안이 부들부들하고 색깔도 밝은 붉은 색이여서 예쁜 것 같아요. 이번 겨울 이 옷으로 따뜻하게 날 수 있을 것 같네요ㅎㅎ 잘 입겠습니다~~
ruby**|색깔도 보통 그래이 색보다 진하고 흔하지 않아서 예쁘구요. 생각보다 얇은 재질은 아니어서 지금 날씨에 입어도 괜찮을 것 같아요. 근데 생각보다 너무 커서 당황스러웠네요ㅎㅎ 그래도 잘 입고 다닐 것 같아요~~
fkdhs**|블랙샀구요ㅎㅎ클러치백은 처음 샀는데 부담스러울까 조금 걱정했었는데 크기도 딱 적당하고 무난하게 들고다니고있어요!!검은색이라 코디도 쉽고 뭔가 되게 시크한 느낌이 나네요 ㅋㅋㅋㅋ 전혀 이 가격처럼 안보여요. 되게 비싸보인대요~~ 저렴한가격에 잘샀네요 감사합니다 ㅠㅠ
dhthdud0**|배송이 3일만에 왓어요!!생각보다 색상이 탁하네여 그래도 만족스러워요 한가지 아쉬운점은 올풀림이 있네요 개선부탁드립니다 처음 사용해봤는데 앞으로도 고고싱애용할게요!!!!!!!!!!!
lje98**|옷이 생각보다 컸지만 그래도 핏이 이뻤어요~근데 단추 부분이 좀 빡빡하달까? 그것만 빼면 만족합니다~ 가격도 저렴하구요!!
dlwkdud61**|가격대비 이뻐요~~~ 그치만 저한텐 좀 딱맞아서 살 좀빼고 입어야 될거같네요 ㅠㅠ 치마자체랑 핏은 이쁘고 날씬해보이는것같아요
annie**|포토후기 3등이요!오! 생각보다 되게 박시했어요. 옷을 펼쳤을 땐 당황했지만 입었을 때 마음에 들더라구요! 팔길이가 긴편인데도 손 끝까지 오더라구요 ㅋㅋㅋ 그래서 오른손처럼 두번정도 접어봤는데 접어도 이상하지 않고 이쁘길래 저렇게 접어서 입을거에요! 아 그리고 색상은 베이지로 샀는데 모델언니가 입은 사진보다 진하고 상세페이지 상품 사진보다 좀... 뭐랄까 탁하다고 해야하나...? 여튼 좀 다른데 전 마음에 들어요. 역시 옷은 입어봐야한다고 상품 꺼냈을 때는 색깔이 왜이래...? 했지만 입어보니 괜찮더라구요. 좋아요! 저 161인데 엉덩이 다 덮는 기장이고 저보다 작으신 분들은 참고하세요!!
dlwkdud61**|베이지랑 버건디 두색상 구매했는데, 버건디는 생각보다 밝은 느낌이었고, 베이지가 기대이상으로 이뻐요~~ 가격대비 좋아요
annie**|포토후기 2등이요! (순위 기재가 안되있는거 같아서 써봅니다)두께는 제가 생각하던 두께이고 재질은 생각보다 부드러워오!!입었을 때 느낌이 좋습니다. 다른건 모델 언니가 입은 거랑 비슷한데 한 가지!!!모델 언니 머리카락에 가려 보이지 않던 목부분이,,, 살짝 아쉽네요.둥둥 떠가지구 약간 이상한거 같기도 한데 그냥 입으려구요.팔 길이가 제가 원하던 길이라 만족해요 :)아 티셔츠 길이는 앞부분은 좀 올라가고 뒷부분으로 보면 엉덩이 반절까지는 아니고 1/3 정도 오는 것 같아유
annie**|포토후기 3등이요!업데이트 됐을 때부터 찜해놓고 있다가 샀는데 진짜 이뻐요!!!실제 색상은 홈페이지 사진보다 약간 진한 것 같지만 그래도 제가 원하던 색이라서 완전 마음에 들어요. 겨울 전까지는 잘 입을 것 같아요. 스판끼가 넘치는 건 아니지만 불편하지 않을정도로 적당히 있고 무릎 굽히는 것도 힘들지 않았어요. 사이즈는 정사이즈로 구매했습니다! 하지만 딱 하나 아쉬운건 저에겐 길이가 좀 짧아요ㅠㅠ (키 161) 그럼에도 불구하고 바지가 너무 이뻐서 별 5개요 :)
moonran**|정말 다른 후기들처럼 냄새가 좀 심하게 나지만 몇 일 냄새빠지게 걸어두었더니 좀 괜찮네요 이뻐요! 무난하게 들고 다니기 좋아요 ~~아주 좋아용
moonran**|포근히 니트 정말 포근하네요~ 이뻐요 블루 ~~다른 색으로 또 구매하고 싶네요! 예쁩니당ㅎㅎㅎ반넥이라 더 맘에 들고요!
moonran**|예뻐요!예뻐요! 핑크색 제가 원하던 니트 색이어서 보자마자 바로 주문했어요! 요새 날씨가 너무 추워져서 바로 입을 수 있겠네용 부들부들~~ 따뜻할 것 같아요
1804237133140771**|코디하기가 애매해요 ㅠㅠㅠ
jhjchl**|이게 골반바지가 아니라 살짝 하이웨스트라서 사이즈는 한치수 작게 사는게 나을 뻔 했어요 ㅠㅠ 허리가 너무커서 벨트없이는 못 입어요 ㅠㅠ 그래도 바지자체는 아주 맘에 듭니다!
jhjchl**|평소에 바지 27 입는데 이 바지 자체가 스판끼가 별로 없어서 그런지 미디움도 좀 작았어요ㅠ 그래서 리지로 바깠어요 ㅎㅎ 바지자체는 흔하지 않소 정말 이뻐서 만족!
jhjchl**|좀 큰편이긴한데 소매접고 옷넣어입으면 여리여리하게 입을 수 있어요!! 브이넥도 딱 이쁘게 파인 브이넥이라 은근 섹시해 보이기도해요 ㅎㅎㅎ
gusrud14**|길이는 적당한거 같아요! 약간 헐렁해서 원하는 핏은 아니지만 스판이라서 그런지 입기는 편해요!! 근데 발목쪽은 잘 안늘어나서 벗을때 늘어날것 같은 느낌..ㅎㅎ
zoqm**|평소 27~28사이즈 입어요~허벅지가 두꺼워서 맨날 허벅지에 맞춰사느라발목까지 달라붙는 바지가없었는데 요건 발목까지딱! 잡아주니까 너무좋았구 밑단 안접어두되서 좋았어요!ㅎㅎ배송은 좀 느렸지만 바지 너무 맘에들어서 별5개!♡
gkwjd77**|진짜 딱 원하는 사이즈여서 좋고 좋은 옷 냄새가 나서 기분이 좋았어여/손목길이도 딱 여리여리한 느낌을 주는 길이이고 색도 모델분이 입은 것과 같은 색이예요~~앞으로 많이 입을거 같아요 많이많이 파세요
ocean19**|너무 이뻐요 ! 와인색상 구매했는디 사진보다 좀 더 차분한 와인색이어서 더 마음이 들었어요 ! 아직 입어보지는 않았는데 도톰해보이구 만족합니다 ㅎㅎ
ocean19**|모델컷보구 이뻐서 바로 생각없이 구매했던 스커트에욥 ㅋㅋㅋㅋ 그래서 제가 기장 이런걸 잘 안보구 샀더니 좀 짧네요ㅠㅠ 엉엉 그건 뭐 제 실수니까 !! 다른 것들은 다 기대한 만큼인거같아요 ㅎㅎ 소재두 그렇구,,>> 자세한 리뷰와 더 많은 사진, 질문은 요기로 ~http://m.blog.naver.com/batman0213
point27**|생각보다 엄청 컸어요 ㅠㅠ 저보다 작으신분들은 조금 고민해보셔야할듯합니다! 옷자제는 마음에들었어요! 소매길이가 길어서 접어입는게 이쁜것같습니다. 제키에는 엉덩이부분을 딱 다덮는길이였습니다
ocean19**|다른 후기들에도 소재가 독특하다하시길래 얼마나 독특하길래,, 생각했었는데 진짜 신기해욥 ㅋㅋㅋㅋ 얇은데 얇지않은것만같은 소재? ㅋㅋㅋㅋㅋ 핏이나 길이나 전체적으루 이뻐요 그런데 얇아서 더 추워지면 못입을것같네요 ㅠㅠ 학교에 입고갔었는데,, 움 좀 웃긴 소리 많이 들었는데,,헤헤 >> 자세한 리뷰와 질문은 요기로 ~http://m.blog.naver.com/batman0213
ocean19**|인생니트에요 !! 진짜 기대안했는데 핏도 이쁘구 길이도 적당하구ㅠㅠ 얇을줄 알았는데 은근히 도톰해서 비치지두 않구요 ! 지금은 색상이 많이 품절되서 아쉽네요ㅠㅠ 그때 여러색구매할껄 후회됩니당 이번구매중 가장 만족했던 제품이에요 !
vtrne**|잘못 시켜서 ㅠㅠ핑크 두개 삿음 ... 교환하느니  동생 줫음 저렴해보이거나 거칠까봐 걱정했는데 그냥 입어도 피부 따갑지 않아서 조음~~! 목이나 소매도 짱짱하고 보풀은 봐야 하겠지만 니트는 한철 입는다 생각하기 때문에 .. 특히 맘에 드는건 짱짱한 목부분  지금입기 딱 조음  아주 박시하지 않고 너무 얇거나 두껍지 않고 적당함 이쉬운건 핑크는 역시나 어두운 살구핑크 ㅜㅜ 다들 후기에는 밝은 핑크라 했지만 내눈엔 어두운 살구에 가까웠음. 코발트 블루가 얼굴도 살아보이고 쨍해서 이뿜^^ 조만간 다른색상 사야징~~~~
ggs3**|포토후기 2등?!이에요!!A라인 모양 검은색 기본 스커트! 완전 필요했었는데 구매하기 잘 한 것 같아요! 정말 예쁘고 편하고 깔끔해서 어느 옷에든지 잘 어울리네요. 가격도 적당하고 리본으로 포인트 줄 수 있어서 좋아요~~ 재질도 면과 폴리 혼용된거라 괜찮은 것 같고요ㅎ 전신샷 남겨요!ㅎ
miu18**|핏이 딱 떨어지지도 않고 자칫 올디한 느낌을 줄수 있는 황갈색이지만 가을 코디에 한벌으로 딱 좋아요. 재질도 구김이 심하게 지지 않고 탄탄해서 마음에 듭니다. 하의는 허리 24 제 기준 뒤에 밴딩이 있더라도 조금 낙낙한 느낌이 들어요. 저는 펀치라인의 후드티와 코디했습니다 :-)
als85**|검은 슬랙스나 스키니에 입기 딱좋은것같아요!! 길이감도 딱 적당하고 폭도 딱 적당해서 그런지 진짜 맨날맨날 입기 좋은것같아요~ 니트안에도 포인트로 입어두 좋을것같아요~~ 무난무난한 네이비라서 손이자주가네요~~ 꼭사세요!!!!
als85**|색이 너무이쁜 연보라색이에여~ 연분홍도아닌 오묘한~그런색이라서 진짜 이쁜것같아요!!!! 기장이 쫌 짧아서 그점이 좀 아쉽긴하지만~~ 그래도 색이 넘이쁘고!! 도톰하니 이런날씨에 딱 좋은것같아요~ 이뻐요!!!!꼭사세요~~
eotjd**|다른버전 천국바지 하나 사보고 완전 만족하진 못했지만, 키작은 사람들을 위한 천국바지가 따로 나왔길래 구매해봤어요.저번에 다른버전 천국바지 샀을 때 일주일 입고 나니깐 단추가 저절로 떨어져버려서 결국 세탁소에 가서 맡겼거든요. 그래서 이번에도 혹시 그러진 않을까 싶기는 하지만 버전이 달라서 다시 믿어보려구요. 색상은 맘에 드는데 엄청 천국바지처럼 느껴지진 않아요 ㅠㅠ 밑위가 생각보다 길어서 다리사이로 딱 맞지않고 한참 밑으로 내려가 있어요 끝까지 올려입으면 발목이 너무 보이고..발목을 신경안쓰자니 다리사이가 내려오고 ㅠㅠ 아무래도 이게 하이웨이스트여서 그런 것 같기도 합니다. 앉아있어도 내려오니 ㅠㅠ 무튼 배송은 빠르고 옷도 실밥같은거 안튀어나오게 잘 왔어요! 나름 만족하려고 합니다. 모든 체형에 바지가 맞을 수는 없는 것 같아요ㅠㅠ 그래도 키작녀를 위해 기장수선을 하지 않아도 되는 바지여서 그 점이 가장 좋아요!
als85**|얇아서 그런지 안에 입기 정말 좋은것같아요~~~~~!!!!!!!!! 막 깍끌까끌거리지두 않고 입기 딱 좋아요~~ 색깔도 딱 이쁜 카키 색이고~ 지금같은 날씨에는 위에 껴입어야하는데~ 실내에서는이것만 입기 딱좋아요~~~~~~~~
kkk45**|청바지나 치마 등 어디에도 잘 어울릴것같아요너무 얇지도 않고 딱 적당하고 이뻐요! 배송도 2일만에 와서 만족스러윘습니다. 자주 이용할게요~
khl09**|이쁘구 핏도 잘받네욤!!! 생각보다 두껍구 배송이 지연된점은 아쉬웟지만 길이도 적당하고 이뻐욤!! 고고싱 자주 이용해야긋네욤 배송비도 싸구
rebecca11**|인디핑크 기모버전을샀는데 정말이뻐요 매일매일입고싶어요!! 박시한편이라서 안에 추운날은 많이껴입어두되요!!'정말좋으냇같어요
gsw243**|이거 되게 부들부들하고 핏도 넉넉하니 예뻐요! 색도 카키색 예쁘게 나왔고요 근데 지금 갑자기 날씨가 추워져서 요거 하나만 입으면 추워요!
gsw243**|이거 색도 좋고 예쁘긴 해요 되게 부들부들해서 좋기도 하고요 근데 생각보다 길이가 짧아서 좀 당황스러웠어요 엉덩이 안덮습니다 이거 고려해서 사세요
gsw243**|제가 골반도 크고 살집도 있는 편이라 다리보다는 허리 부분을 걱정했는데 딱인것 같아요! 한 쪽 다리 발목부분이 다른 쪽보다 좀 좁아서 입을때 힘들지만 발목부분이라 그냥 넘어갔어요! 색깔도 쨍쨍하니 예뻐서 만족합니다 배송도 3일걸렸어요 좋아요
jyb44**|이것도 이뻐요 ㅋㅋ 근데너무파졋다 ..!! 그것빼고 퍼펙트 완벽함니돵 ㅋㅋ 근데목이좀허전혀서 초커랑같이하면대박이뻐용 ㅎ!!
jyb44**|진심으로너무이뻐요 ㅠㅠ 근데너무파인드해영 스틸블루를 사고싶엇지만 아쉽게도 품절 !! 아쉬운데로 버건디삿지만 버건디 도넘이쁘다♥♥
kim02hs**|아는 지인이 구매해달라구해서 했어요 ㅋㅋㅋㅋㅋ 전체적으로 디자인도 깔끔하고 길이감도 마음에 든대요조금 얇은 감이 있어서 간절기에 입기좋은거같아용
997069550413834**|두가지 색상 다구매했는데 정말 맘에드네요!지금 쌀쌀한 날씨에 맞게 얇지 않아서 좋아요~재질은 더도말고 너무 좋구요~~
dufma22**|모델언니가 입은거 보고 너무 이뻐서 샀는데음..옷이 오버사이즈여서 처음에 입었을때 옷이 너무 크게 느껴져서반품할까 고민 진짜 많이했는데 뭔가 또 어떻게 보면 이쁜거 같아서ㅠㅠ 고민고민 하다가 그냥 입으려구요! 평소에 오버사이즈 안어울리시는분들은 참고 하셨으면 좋겠어요!
audgmlvkx**|소라이트 블라우스 화이트 구매했는데 엄청 깔끔하고 이뻐요!!!!기본 셔츠가 별로 없어서 이번에 구매를 해봤는데 엄청 깔끔하고 좋아요ㅎㅎ핏도 좋고 다음에도 구매하고 싶네요^^
wjdals01**|동생과함께입을려고구매했는데 색상도너무이쁘고핏도이쁘고다이뻐요 거기다가저렴한가격ㅇㅣ고얇지도않고딱됬어요
wjdals01**|완전핏도이쁘고제가여기그래도나름자주이용하는고고싱 믿을만해요ㅋㅋㅋ색깔도이뻐다이뻐요짱어떤것에입얻느
wltjs91**|옷보다는 레터링이너무예뻐서 구매한옷이에요!막상입어봤더니 레터링보다 옷이더예쁜거같아욬ㅋㅋㅋㅋ소매도살짝큰느낌이라서 뭔가여리여리하기도하고머리묶고입으면 쫌섹시할거같기도해요!레터링때메...?ㅋㅋㅋㅋㅋㅋㅋ마지막밤★넘나맘에든당^-^
audgmlvkx**|핏도 이쁘고 생각보다 괜찮았어요!!! 사이즈도 딱맞고 좋아요^^하의는 어떤걸 입어도 이쁠거 같네욤ㅎㅎ굿굿 좋아염
ksg011**|메고다닐가방이 필요해서 샀는데 정말잘산것같아요~~생각보다 가방도 크도 꽤 많이 들어가서 사길 정말 잘한것같네요
ksg011**|요즘 날씨에 입기 좋은 것 같아요~~~~^^아무 옷에나 입어도 다 잘 어울려서 자주 입으려고요  후회없이 구입잘한것같아요
xdv**|청자켓 안어울릴까봐 고민많이했는데 엄청 괜찮아요!!!!체구가 작아서 너무클까봐 걱정했는데 박시한핏 좋아해서 그런지 딱 이쁘게 맞아요! 소매도 두번접어야 맞지만 그것도 나쁘지않고 길이도 이뻐요! 물빠짐 초큼 있긴한데 드라이맡겨야겠찌요.. 이가격에 이런 청자켓 가능한가요???? 따뜻하고 핏도 이뻐요!!!♡♡♡
lymluv02**|가격이 양말치고 너무 비싼 느낌이 없지않아 있지만 제가 찾던 긴 양말중 제일 긴거같아요 하나 더 살껄 그랬어요 ㅠㅠ 하지만 넘 얇아요 ,,
dayaun**|ㅎㅎㅎㅎㅎㄹㅎㅎ와인색이 이거보다 더 진한줄알앗는데 약간 아쉽네용 그래두 너무 예뻐요 ㅎㅎ! 여기서 산 바지랑 같이 입으면 잘 어울려여
wltjs91**|아니..이색깔은...? 미췃어!ㅋㅋㅋㅋㅋㅋㅋ후기에서 색깔예쁘다고다들그러셔서 기대하던옷인데처음에딱눈이마주친순간 어머나세상에 했던옷이에요ㅜㅜ코발트색인데 진하고..예쁘고..또예쁘고...역시나의사랑고고싱♥사랑해요고고싱♥
lymluv02**|고고싱에서 시켰던 옷들중에 마음에 드는 옷 중 하나인거같아요 ! 단가라티 찾았었는데 너무예뻐요 근데 소매길이 부분이 너무긴게 좀 그렇네요 ^^; 나머지는 매우만족
dayaun**|와 너무 예뻐요! 제가 키가 작은데도 딱 잘맞네요 ㅎㅎ 앞으로 고고싱 자주 이용할게요❤️ 맞춤옷 한것처럼 너무 이뻐서ㅜㅜㅜㅜ
lymluv02**|디자인은 심플하고 좋은데 옷이 주름져있고 식초냄새 같은 시큼한 냄새가 나요 ㅠㅠ 빨아서 입으면 괜찮을거같아요 조금얇지만 예뻐용
lymluv02**|다른 제품들이 품절이라 개별배송 왔어요 ! 조금 두꺼울줄 알았는데 얇아서 조금 놀랬어요..ㅎ 근데 얇아도 디자인이 너무 마음에 들어요 ! 심플하고 예뻐요 만족합니당
wltjs0**|바지는 인터넷으로 사본적이없어서 실패를 많이 했는데 이번에는 혹시몰라 넉넉하게 30을 구매했는데 허리도 딱맞고 무엇보다 발목을 쫌 잡아주니까 좋았어요.바지가 워낙 스판끼가 있어서 한치수 작은걸로 구매했어도 맞았을거같았어요.바지는 일단 너무 좋아요~~
wltjs91**|굉장히 쭈리쭈리해욬ㅋㅋㅋㅋㅋㅋㅋ비닐뜯고딱펼쳤더니 되게작아서당황했었어요ㅋㅋㅋㅋ근데쭈리쭈리해서 잘늘어나고되게편해요!!어떤상의든지다잘어울리고 데일리로입기딱인거같아요~너무맘에드네요~감사해요궈궈쓍!!♥♥♥
wltjs91**|아생각보다너무길어요!ㅋㅋㅋㅋㅋㅋㅋㅋ허리가밴드로되어있어서그런지 바지는편한데저한테는크게두번접어야해요...ㅠㅠㅠㅠ수선하면이쁠거같네요!ㅎㅎ저번에타쇼핑몰에서 슬랙스실패했었는데드디어성공해서기뻐요ㅎㅎㅎㅎㅎ^-^
tmdgml35**|완전쫀쫀해요....스키니입고 편한적은 살면서 처음입니다....굿 처음에 딱왔을때 스판 완전 좋아서 놀랬어용!!추천합니다 하나더살려구용>_<
wltjs91**|후기보니까 생각보다짧아서 바지랑같이입어야겠다는분들이많길래 고민하다가 결국질렀어요!!다행히저한테는 그렇게짧지않아서 단독으로입어도괜찮을정도고 팔이길어서좋았어요!!요즘유행하는그거~?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ와인색도사고싶네요ㅠㅠㅠㅠ
wltjs91**|와...이니트진짜....솔직히많이기대는안했는데이게진짜진짜진짜마음에들어요ㅎㅎㅎㅎ재질도좋은데 특히!! 올리브그린색깔처음사봐서걱정도됐었는데 색깔이너무예뻐요...보면볼수록빠져드는ㅋㅋㅋㅋ넘나매력적인것♥♥
yuye**|갑자기 추우진 날씨에 목폴라를 주문했는데 요즘 다시 기온이 올라가서 나중에 입어야할거같네요 ㅋㅋㅋ 그래도 색깔도 맘에들고 핏도 마음에 들어요~
aeck37**|평소27아님 28정도입는데 27사니까 딱 원하던 핏이 나오네요 발목은 생각만큼 쫀쫀하진 않았지만 접어입을거라 상관없고..역시 새바지라 그런지 색이 묻어나와서 빨아입어야게써여 생각했던 흑청이 아니라 사알짝 당황했었지만 그래도 맘에들고 예쁘니깐 잘입겠습니당ㅎㅎㅎㅎㅎ문의글 남기면 바로바로 일처리도 해주시고!! 그러니까 후기를 안 남길 수가 있나용??ㅎㅎ 고고싱 애용하게씀미다!!><
guswn22**|받고나서 색깔이 별로라는생각이들엇지만,막상 하의랑 코디해서 입어보니 너무너무 예뻐요^^
kaylalim**|여리여리해보여요 크림색샀는데 베이지와 크림 중간인듯 .. 약간 누리끼리해요 비침도 있구요 그래도 여리여리해보입니다 만족해요
guswn22**|너무 맘에들어요!!  핏이 짱이랍니다^^
kaylalim**|허니폴라 루즈니트 검정색 구매했습니다 여리여리해보이네요 따뜻하구요 소매가 넓어서 더 여리여리해보이는듯? 두툼해서 치마 안에 다 못넣어요 그래도 예쁘니 만족합니다
kaylalim**|찜꽁꽈배기니트 코코아 샀어요 촉감이 부드러워요 따뜻하고요 근데 소매부분 울퉁불퉁합니다ㅠ 그래도 잘 안보이게 다니고 있어요 좀 연한 코코아색이에요~
kaylalim**|검정색 베이직한 a스커트 구매했습니다 사이즈 l이에요 신축성 하나됴 없다했는데 신축성이 좋습니다 핏이 예뻐요 좀 짧긴 한데 편해서 만족합니다~
wlsdnstmfd**|치마는 제가 원하는 스타일이라서 너무 좋았구요 다만 지퍼가 마지막 3분의1지점에서 잘 안잠긴다는점..약간 뻑뻑하지만 입다보면 괜찮아지겠죠..ㅎ 여튼 치마는 진짜 좋아요!
