760366330840784**|친구와 같이 트윈룩으로 구매했습니당~~끈도 다양한곳에해도 되서 너무 좋았습니다 너무만족해요!
gywls7**|예뻐요ㅎㅎㅎ 밑단이 좀 말려서 많이 잛아보이긴 합니다ㅠㅠ근데 정말 적혀있는대로 자동보정이라 골반 넓어보이고 좋아여 ㅎㅎ
toys**|살때도 품이 남겠구나 생각하고 샀는데 막상 입으니 많이 크긴해요 ㅋㅋㅋ그래도 귀여워서 전 허리에 따로 끈 매서 입고다니려구요~
toys**|모델처럼 넣어입을걸 후기남긴다고 막입었더니 사진이 별로네요. 실물보다는 낫습니다. ㅎㅎㅎㅎ속은 살짝 비치는데 여름에 입기에는 시원할것 같아요.
seungh05**|생각보다 예쁘고 색깔도 너무 튀지도 않고 여름에 시원해보이고 좋은거같아요. 안이 비치는 재질이라 겉에 걸쳐입기 좋네요.
toys**|저한테는 품이 넉넉하게 남아서 허리숙일때는 조심해야할것 같아요. 그래도 편하고 시원한 소재라 마음에 들어요.
seungh05**|벨트가 그래도 어느정도 길 줄 알았는데 생각보다 너무 짧네요. 얇은 벨트가 필요해서 사긴 샀는데 길이를 조금 더 길게 만들어주셨으면 좋겠네요.
toys**|처음입었을때 시원하고 찰랑거리는게 여름에 입기 딱인것 같아요. 소매는 팔꿈치까지와서 팔뚝살 가리기 좋구요.마음에 들어요~
seungh05**|바닥에 미끄럼방지가 되어있어서 안미끄러울지라도 양말이 힘이 없어서 신발 신고 나가면 자꾸 벗겨져서 결국 벗게 되네요.
toys**|리뷰에 한사이즈 크게사라는 후기도 있고 허리길이도 S하기에는 많이 낄것 같아서 M했는데전 그냥 S할걸 그랬나봐요.허리가 살짝 남아서 전 티셔츠 넣어입으려구요사이즈야 제가 선택한거니까 어쩔 수 없고ㅎㅎ전체적으로 마음에 들어요
cpfl09**|얇은 스트라이브셔츠네요 긴팔인데 얇아서 여름에 잘 입고 다닐 것 같아요 잘 입을게요 고고싱~
seungh05**|바닥에는 미끄럼 방지가 되어 있는진 몰라도 양말 자체가 힘이 없어서 신발을 신고 걸으면 자꾸 벗겨지네요.
seungh05**|날씨가 슬슬 더워지다보니까 덧신을 많이 신게 돼서 샀는데 귀여운거 같아요. 잘 신고 다닐거 같습니다.
cpfl09**|통이 큰 바지를 원해서 L을 샀는데 L이 아니라 M샀어도 좋았을 것 같아요 허벅지가 작을 까봐 L샀는데 허리가 생각보다 더 크네요
seong12**|여성스럽고 너무예뻐요 ♥ 나시 하나 입고 입으면 치마 바지 상관없이 너무 예쁘네요! 고고싱!
toys**|정말 마음에 드는 숏팬츠예요.허리도 딱 맞고 색도 예뻐서 여름에 많이 입을 것 같아요.고고싱에서 바지 많이 사야할듯 ㅋㅋ
seungh05**|이제 슬슬 더워지니까 덧신이 더 필요해질거 같아서 구매했는데 그냥 일반 덧신이죠 뭐...ㅎㅎ 귀엽긴 귀여운데 어차피 신발 신으면 다 가려질 애들이라.. 그래도 잘 신고 다닐거 같아요.
751218070**|와 진짜 맘에 들어요 여태까지 산 치마 중에서 제일 맘에 들어요ㅠㅠ 진짜 쉬폰재질의 치마 예쁜거 찾고 있었는데 재질이나 하늘 거림이나 진짜 하나부터 열까지 다 맘에 들어요! 베이지랑 검정이랑 고민했는데 검정색깔도 사려구여!!고민하는 시간이 아까워요 빨ㄹㅣ 사세요!!!배송도 빨랐어요! 고고싱 감사합니당
cpfl09**|핑크색 반팔티가 예쁘네요~~ 약간 팔랑거리는 재질이고 얇습니다 여름에 잘 입고 다닐 것 같아요
toys**|제가 체구가 작아서 평소에 바지구매할때 S,M,L이 아닌 사이즈 직접 보고 사는데 고고싱 바지는 저한테 잘 맞는것 같아요.하이웨스트라 다리도 길어보이고 데일리룩 될 것 같아요
hyl01**|속옷 안비쳐서 매우 좋아요하얀색이라 속옷 걱정했는데 다행히! 밑단 무난하니 예쁘구사이즈 딱 맞고 예뻐요!
ptyea**|심플하고 예뻐용ㅠㅠ흰색도 같이 구매할걸 그랬어요저렴한 가격에 심플레터링.. 맘에들어요다른 레터링티보다 훨씬 죠음ㅎㅎ
hyl01**|제일 애정하고 자주 입고있습니다사진이랑 똑같구 그냥 데일리로 입기에 예뻐요사이즈도 잘맞구 배송도 빨랐어요
hyl01**|모델분 핏처럼 넉넉하구요여름에 입으면 아주아주 시원할 재질근데 잘 늘어날것같은...그런느낌
hyl01**|한번 세탁하고 나니까 길이감이 확 줄긴했지만재질은 짱짱하니 좋구요여름에도 음.... 입기에 나쁘지 않을것 같아요
cowldms51**|생각보다 통이 큰 것 같아요 그리고 시원해요 면보단 이런 재질이 더 나은 것 같아요 그리고 가격이 가성비이에요
cowldms51**|진짜 이 가격에 이정도 퀄리티면 대박이에요 꼭 사세요 제가 자켓이란 자켓 다 뒤져서 가성비 찾으려고 했는데 이게 가성비 최고예요 되게 예뻐요 꼭 사세요
cowldms51**|생각보다 딱 달라붙어서 놀랐어요 저는 좀 펑퍼짐할줄 알고 샀거든요 그렇지만 시원한 재질이여서 좋은 것 같아요 그리고 조금 비쳐요
cowldms51**|생각보다 딱 달라붙어서 놀랐어요 저는 좀 펑퍼짐할줄 알고 샀거든요 그렇지만 시원한 재질이여서 좋은 것 같아요
cowldms51**|무난무난한 볼캡이에요 냄새가 좀 나는데 냅두면 빠질 것 같아요 원래 무난한게 최고잖아요 사세요
cowldms51**|허벅지는 딱 맞는데 종아리는 한주먹 들어갈정도로 커서 좀 애매해요 그리고 바지 살때는 꼭 자기가 입는 바지 치수 재고 사세요 저도 원래 28이라서 L 사려고 했는데 M이 딱 맞아요
dh**|원래 240을 신어서 240 시켰는데 조금 작네요. 못 신고 다닐 정도는 아닌데 많이 걸어다니면 발이 아파요.
kyng9911**|예뻐요ㅠㅜㅠㅠㅠㅠ*다른 고객분들이 구매하실 때 참고할 수 있게 아래사항 기재 부탁드려요! ^^- 키, 몸무게163/55-착용사이즈M-착용 후 느낌은?(좋은점/나쁜점)색도 딱 이옷저옷에 다어울릴만한 진짜예쁜색이고ㅠㅜㅠㅠㅜ튼튼하니 오래입을수있을거같아요 예쁜옷감사합니다 ㅎㅎ
dh**|조금 크긴한데 초록색 글씨가 너무 이쁩니다. 레터링이 있어서 심심하지 않고 청바지에 입으면 이쁩니다.
dh**|잘 쓰고 있어요~ 끈도 두 종류가 있어서 편해요. 편하게 매고 다니기 딱 좋고 이쁜거같아요.
ysm02**|이건 진짜 이뻐요 핏도 딱 알맞게 떨어지는데 조금 큰것같아요!!! 평소사이즈 는 55~66 입니닿
joung86**|사진과다르게 안에 나시를 입고 입으면 너무 쪼인다해야하나??그래서 생각보다는 별로엿어요..그래도 나시라서 쉬원하게 입기좋아용
dh**|생각보다 수납공간이 굉장히 넓어서 놀랐어요. 색도 원색 빨강이고 어깨에 매는 끈도 있고 좋았습니다.
joung86**|완전짱짱예뻐요!!진짜너무너무이뻐서 보자마자 이거다하고 삿는데 진짜 색깔도그렇게 입으면완전이뻐요!
kjh40**|사진 그대로 예뻐요♡♡ 가볍게 입기 좋습니다!
dh**|갈색 샀는데 색도 딱 원하던 색이고 얇아서 시원하게 잘 입을 것 같아요. 조금 크긴 한데 입기 편해요.
joung86**|가격이 저렴한만큼 재질이 약간그래요..그래도 가볍게 입고다니기에는 좋은거같아요!저렴한가격으로 입으시려면 괜찮은거같아요
784655186**|딸 아이 아주 맘에 들어해요 받자마자 바로 입고 나가네요 ㅋ여기서 세장을 구매했는데 입고서 이사진 저사진 찍어 보내요 ㅋ 만족해요
ysm02**|이거 치마 진짜 이뻐요 제가 짧은거 안좋아하긴 하는데 길이는 딻지도 않고 길지도 않고 딱 적당한것같아요
joung86**|저번부터 계속 사고싶었엇는데 못사고있었다가 이번기회에 사게되었는데 역시 사기를 잘햇어용!너무너무 이뻐요!
ptyea**|편하고 예쁘네요네이비로 구매했는데 블랙처럼 보이기도 해요진한 네이비에요그래서 더 맘에 듭니다밴딩있어서 편하고 핏도 예뻐요요새 입기 딱 좋을 듯 하네요ㅎㅎ가격도 저렴해서 굿
dh**|재질이 면이 아니어서 처음에는 좀 당황했는데 여름에 오히려 시원하게 입을 수 있을 것 같아요.
dudtjs1**|사이즈 미스라 바지가 조금 커서 헐렁하긴 하지만 핏 자체는 나쁘지 않은 것 같고 길이감이나 너무 딱 달라붙지 않는 것도 좋았어요!
hyesu02**|블랙완전시크해요 블랙인줄알았는데 약간 네이비예요 그래서 전 더 좋아요 여름에 입으려고산거라 블랙보단 약간 네이비가 더 괜츈한듯합니다 색 정말오묘하고 예쁩니다 끈있어서 더 좋아요 끈있는거 찾고 있었어서 훨씬 좋았숩니다
ysm02**|이건 엄마가 뜯자마자 원피스 이쁜거 샀다고 얼른 입어보라고 막 조를정도??ㅋㅋㅋㅋ 이건 진짜 잘산것같아요
joung86**|허리사이즈는 큰데 입을때가 좀불편해요...그것만아니면 완전 길이도그렇고 색상도 너무너무이뻐요!!
56498301**|좋아요
ptyea**|가지고 있는 옷 중에 이런 색상이 없어서 구매했는데 예뻐요 얇아서 봄 여름 입기 좋을 듯 해요!가격도 저렴하고 좋습니당
ysm02**|생각보다 조금컸어요! 키는 169 조금 안되는데 엄마가 입은거 보고. 허수아비 핏 이라곸ㅋㅋㅋ놀렸어요 평소사이는 55~66입니당
hyesu02**|가격에 비해 엄청 괜찮고 예뻐요!! 색별로샀는데 아이보리 후기가없어서 걱정많이했는데 이쁘더라구요!! 짱짱입니다!! 두번사세요 세번사세요 이쁩니다요 키가 작아서 길이가 좀길긴하지만 괜츈함
wldnjs88**|이원피스너무기여워요 ㅎㅎㅎ조금부해보이는게있지만시원하고 마음에너무너무들어요 ㅎㅎㅎ너무가버워서바람불땐조심해야될거같아요 ㅎ
hyun90**|엄청 예쁘고 많이 비치기는 하지만 안에 나시 받쳐입고 입으면 괜찮구요 재질이 시원한 재질이라 한 여름에도 즐겨 입을 수 있을것 같아요
wldnjs88**|이원피스는 허리얇은사람이입어야예쁠거같아요ㅎㅎㅎㅎ그래도 핏도예쁘고 ㅎㅎㅎ무엇보다 색깔이너무너무 마음에들어요 ㅎㅎ
hyun90**|제가 다리가 짧아서 저한테 조금 긴 것 같기는 하지만 그래도 여름에도 즐겨입을 수 있을만큼 시원한 재질이에요~~ 잘 입을것 같아요
wldnjs88**|ㅎㅎㅎ배송이너무빨라서마음에들었구용ㅎㅎ옷너무마음이들어요 ㅎㅎ사진이랑똑같애요 ㅎ아직안입어봤는데빨리입어보고싶어용ㅎㅎ
17702467**|예뻐요핑크 너무 맘에 들어요맨날 입고 있어요박시한 핏이라서 걸치기도 좋고어디에도 잘 어울려요잘 입을게요~
72130497**|양말은 ㄱㅊ한데 고정할려고 실같은걸로 묶어놨더라구여 ; 당황,, 그래서 고정실 가위로 잘랐는데 뒤에 빵꾸남ㅎ....
54910111**|허벅지쪽을더크게만들어주세요
alrud64**|옷이 박시해서 편하게 입을수 있어서 좋고 화이트사서 그런지 너무 예쁜것같아용ㅜㅜ 앞으로도 여기서 많이 살거에요ㅎㅎ감사합니당
alrud64**|바지 너무 잘맞고 예쁘고 활동하기 편해요 가격도 싸기도하고 디자인이 너무 예쁜것같아용！！！ㅎㅎ
alrud64**|파란색계열사도 고 싶었는데 고고싱에 사니깐 너무 예쁘고 반팔도 너무 시원하고 좋은것같아용ㅎㄹ원래 후기 잘안쓰는데 이렇게 써보네용 번창하세요~
gkdisdu**|포인트되기 딱좋습니다~!!!빨강도 예쁜빨강이예요 추천합니다^^핏도 부하지 않아요~~~
qlsdbg**|제가 샀을때 왜 후기가 별로없는지 알것 같아요 골반이 넓은편인데 신축성이 1도 없어서 완전 불편해요 ㅜㅜ
qlsdbg**|같이 산옷중에서 제일 마음에 들었어요 !빈티지하고 색상도 여름이랄 어울리는거 같아요 예쁘게 입을게요_
qlsdbg**|옷은 이쁜데 생각해보니 위에 걸칠옷이 없어서 그것도 나증에 사야겠어요 생각보다 예뽀요 ㅎㅎㅎ
qlsdbg**|밴드는 밴드인데 막 그렇게 와 이이건 인생바지야 할정도로 신축성이 있진않아서 실망했어요 살빼고입어야겠어요 ㅜ
qlsdbg**|무난하게 화이트색상을 샀는데 양말이 하얘서 아무 옷이나 같이 신어도 괜찮을꺼같어요 생각했던거에요
qlsdbg**|원래 235신는데 발볼생각하고 샀더니 신발이 생각보다 커서 그냥 언니주고 230시켰더니 그건 또 딱맞네요 ㅜㅜ 정사이즈인가봐요
qlsdbg**|기대한것보다 예뻐서 놀랐어요 ㅎㅎ 여름에 입기 좋을꺼같아요!
jutb09**|고고싱은 역시 배송이 진짜 빠르네요.다른 쇼핑몰들 중에 월등히 빠른 듯ㅋㅋㅋㅋ이틀째에 딱 옷이 와서 신기했어요!저에게 옷이 딱 배송된 후 별 기대 안 하고 입어봤는데 의외로 편하고 예뻐서 놀랐어요.확실히 허리가 밴딩이 들어가 있어서 그런지 다른 치퍼 달린 치마들과 비교해서 상대적으로 훨씬 입기 수월하고 그러면서도 허리라인을 잡아주는 디자인이어서 진짜 좋았어요!무엇보다 밴딩이 제일 좋은 것 같아요. 보통 밴딩치마 잘못 사면 뒤쪽 허리랑 엉덩이 부분이 붕 뜨는데 이 옷은 그런 것도 없고 그냥 등허리부터 엉덩이까지 자연스럽게 이어져요!사실 500자 써야 돼서 지금 장황하게 아무말하고 있긴 한데ㅋㅋㅋㅋ진짜 맘에 들어요.제가 하체비만이 심해서 여름 되면 다리 때문에 짧은 치마를 못 입는데ㅠㅠㅠㅠㅠㅠ 이건 사진에서 보시다시피 길어요! 제가 160초반대인데 앞 부분은 거의 발목까지 덮고 뒷 부분은 종아리의 3분의 1 정도 와요.색깔도 검정색에 시원한 꽃패턴이라 진짜 예쁘구요! 맘에 들어요
59822931**|기장은 제 키가 169인데 발목 조금 위까지 와요!! 가슴부분은...정말 말그대로 많이 파였구여..^^ 다른분들 후기봤을때 얼마나 되겠냐 했는데 호호 가슴골 보일정도?^.. 이쁘긴 정말정말정말 이쁩니다...후하후하 진짜 덕분에 인생샷도 찍었어요 저....♡ 안에 검정색 나시입고 잘 돌아다니고 있슴다! 그리고 안에 속치마는 엄청 짧아요 예를들면 똥꼬치마보다 야악간 긴정도? 암튼 진쨔찐쨔 이쁩니다ㅠㅠ!!! 많이 파세요~~
44822090**|많이 통통하신분들은 입기 힘드세요 제가 많이 통통한데 뽕이 있으니까 팔이 끼면 더 노답이에요 살빼고 가을에 입으려구요
44822090**|진짜 지이이인짜 만족 지려요 완전 이쁘구 캐주얼하고 됴운 남방 ,, 가슴팍 포켓이 크기는 한 것 같애요 근데 한번 빠니까 보풀이 꽤 나오고 물빠짐도 사알짝 있긴 하네요 ,, 소중하게 다뤄야지
44822090**|한번 빨으니까 티 목부분이 쪼글해지긴 했지만 입을만하고 얇고 길어요 처음부터 냄새 심하지 않길래 옷걸이에 걸어놨다가 그냥 입었오요
44822090**|힝 ,,, 생각보다 고퀄인데 어덯게 해야 할지 모르겠어서 버벅대다가 연결부분이 끊어졌네요 뚁땽
tndud**|뒷부분이 고무줄로 되어있어서 입기 편한 것 같아요!! 길이도 너무 짧지도 않고 이쁩니다~!!
tndud**|조끼가 좀  길고 생각보다  큰 것 같아요... 그래도 조끼 자체는 이뻐요~~ 블랙이라 다른옷에 입기도 편합니다!
tndud**|기본티라서 아무옷이랑 입어도 잘 어울릴것 같아요!!!옷도 얇아서 요즘 입기 좋은 것 같아요~~
tndud**|가격도 저렴하고 너무 이뻐요!! 핑크색으로 포인트도 있어서 더 좋아요!!가볍게 입기 좋고 진짜 이뻐요ㅠㅠ
tndud**|검정색이라서 무난하게 잘 입을 수 있을것같아요~그냥 깔끔하게 다른 옷과 입기 편할것같네요!!
71127187**|아직 옷은 안입어 봤지만 넘 이뻐요 일본 갈때 입을려도 구매했어요 이뿌게 입겠습니다 맘에들어요
71127187**|길이도 딱 너무 길지도 않고 짧지도 않아서 딱좋고 남친이랑 데이트 할겸 여행 갈때 입을겸 샀어요
seo38**|소라색 처음 도전해 봤는데 생각보다 너무 편하게 잘 입고 다닐 것 같아요! 전체적으로 기장이 좀 길긴 한데 바지안에 넣어 입으면 될 것 같아요!
seo38**|그림이 너무 제 스타일이라서 보자마자 바로 샀는데 진짜 데일리룩으로 잘 입고 다니고 있어요!
seo38**|반팔티 가성비 굿이에요! 너무 인기가 많아서 배송이 많이 지연되긴 했지만 만족해서 잘 입고 다닙니다~~~!
seo38**|얇아서 더운 날씨에도 입기 좋은 것 같아요 데일리룩으로 편하게 코디해서 입을 것 같아요! 가격대비 가성비 짱이네요 ㅎㅎㅎ 예쁘게 입을게요
140500617**|가격대비 완전 마음에 들어요 저렴한 가격에 예쁜 옷 살 수 있어서 좋아요 여름에 잘 입고 다녀야겠어요
vnfma82**|너무 파였는데... 그랴도 예쁘면 듀ㅣㅆ습니더.
vnfma82**|모찌모찌하고 쫀쫀하고 해서 산 뒤로  자주 입습니다
vnfma82**|진심 이거 개좋음 사세요 ㄹㅇㄹㅇ 개 좋으니까 예뿌고 편해요
vnfma82**|완전 ㄹㅇ 좋앙용ㅇ
ssed00**|옷이 엄청 얇고 바람도 잘 통해서 7월 8월에도 잘 입을 수 있을 것 같아요. 또 집에서 입는 반팔티 차럼 정말 편한데에 비해 예쁘기는 5배는 더 예쁜것 같아요. 그리고 여성스러움이(여리여리함,성숙함)  돋보여지는 옷 같고 어떤 하의(치마,반바지,긴 청바지등등)든지 정말 잘 어울려서 한번 더 감동 받았습니다.ㅠㅠㅠ 너무 좋아요. 저는 베이직색으로 샀는데 이 색은 뭔가 사랑스럽다는 느낌보다는 (평소보다는) 성숙함을 보여주는 듯한 느낌을 주고 그러한 실루엣을가져다 준답니다.옷이 너무 예뻐서 다른 색으로 살까 생각 중이에요여러분 이거 살까말까 고민하시면 그냥 사세요 정말 후회안하실거에요♥♥♥♥
uo5676**|색이 특이해서 삿는데 당근색같아요 이뻐요 잘입겟습니다 근데 재질이린넨이라 잘펴야해요 ㅠ!!
uo5676**|생각보다 엄청 파여이썽서 놀랫어요,,입으실때 좀 조심하셔야 할거같아오 근데 이뻐서 잘입겟습니다 !
uo5676**|이거진짜 디자인도 이쁘고 재질이엄청 시원하고 좋아서 완전 좋은거랕아오 색깔하나더사려구여 !
uo5676**|이쁜어같긴한데 생각보다는 조금 파여있어서구매하실분들은 그거 감안하고 사셔야 할거같아오 !!
uo5676**|이거 저는 팔이 너무 쪼여서 입기가 좀 불편햇는데 디자인은 이뻐요.  ㅜㅜ 근데 팔이쥼 ㅜㅜㅐ
uo5676**|제가 원하던 파란색이여서 나무마에들엇어요 다른사이트는 이런파란색은 없어서 계속찾아ㅛ엇는데 감사합니다
uo5676**|진짜 잘산구같아요 아무대나 다잘어울리고 엄청좋아요 ! 진청하나 다구매하여구오 ㅎㅎ 감사합니다
uo5676**|사이즈가 너무 작게 나온거같아요 한치수 크게주문하세요! 그래도 디자인은 이쁘고 편하게입기좋넹요
53242424**|평소사이즈는 잘모르겠는데 하체가 하비해서 원피스를 주로입는 사람입니다!평소 노란색을 너무좋아해서 샀는데 너무귀엽네오ㅜㅜ키가좀작은편인데 제키랑 비슷하신분들 너무만족하실듯ㅜㅜ면도얇아서 지금입기에도 괜찮습니다!주위사람들이 다들 귀엽다고 해줬어요히히카라도 너무 딱딱하지않고 부들해서 부담없이 입을수있어서 좋아요!팔길이도 딱귀엽게 길어서 애기애기해보일수있습다!빨지도않고입었는데 엄청 빅사이즈같은 옷이 챡떨어져서 너무기엽네욤색상도 너무밝지않고 적당한듯하구요 색은 앉아있는사진이 가장비슷한것같아요옷이워낙에 크다보니 팔을들면 너무짧아져 저는 편한트레이닝 반바지 입고 입었습니다! 안에 나시도 안입고입었는데도 개인적인 차이겠지만 안쪽면이 까슬거리지않아 좋았습니당 믿고 구매해주세여ㅜㅜ 허전할까바 포테토아저씨 뱃지? 같이 부착했는데 넘기엽ㅎㅎㅎ만족 대만족! 후기가 많이없어 열심히 올립니다 ㅜㅜ 참고되면 고맙겠네욤
14078282**|생각보다짧은데ㅜ색깔이예뻐용
lyw**|사이즈를 좀 작게사서 처음 입었을때 좀 후회했어요. 이건 그냥 제가 사이즈선택을 잘못한 것 같아요ㅠㅠ 그리고 안쪽면이 살에 닿았을때 약간 거친듯한? 그런면이라서 별로에요. 스판이 있긴한데 엄청 늘어나고 편하고 그런것 까지는 아니에요.
lyw**|적당히 스판있고 색감도 예쁘고 괜찮아요. 그냥 기본템으로 무난하게 입기에 좋구요. 잘 산 것 같아요.
lyw**|생각보다 별로였어요. 후기에 다 예쁘다그래서 피팅컷처럼 예쁘겠지 했는데 음,, 뭔가 실물은 별로에요. 무늬가 너무 많아서 자글자글?한 느낌도 들고ㅜㅜ
lyw**|역시 5월에 입기에는 무리였어요. 내년 봄이나 입으려구요. 그냥 무난하니 기본템으로 청바지랑 입기 좋은것 같아요.
770060597**|이번에 샀던 옷 중 제일 맘에 들음엄청 ㄷ두껍거나 그러지도 않음핏도 적당함 후드는 빼는것이 더 이쁜거 같음
lyw**|생각보다 별로였어요ㅠ 실제로 보니까 초딩?중딩?같은 느낌이 많이나요. 천 자체는 부드럽고 잘 늘어나긴한데 괜히 샀어요ㅠ
770060597**|무조건 한번 빨고 입어야할 옷옷 안빨고 입으면손이 파래짐옷 받자마자 그냥 한번 쓱 했는데  손 파래짐
770060597**|아이보리랑 옐로우 샀는데한 번 빨아보니 사이즈가 조금 줄어든 거 같은 느낌그래도 엄청나게 막 줄어들거나 그런건 아닌데좀 추천하기도 안하기도 애매한 옷
770060597**|아이보리 색상 샀는데 괜찮음 무난함어떤 바지에던지 잘 어울릴 거 같음무난무난괜춘
770060597**|우선 발 사이즈는 250인데 저는 조금 작은감이 없지않아 있음그래도 양말은 짱짱하고 좋음.
770060597**|우선 발 사이즈는 250인데 저는 조금 작은감이 없지않아 있음그래도 양말은 짱짱하고 좋음.
770060597**|벨트 다 나가리되서 샀는데이건 나가리 안되었으면....벨트도 무난해서 다 잘어울릴거 같음
kanghyun**|빨간색 정말 좋아하는데 색상 미쳤어요너무예쁜 빨강이예요!!!!!보자마자 이건 사야돼 하고 바로 겟했어용입술넥이라 쇄골이 보일듯말듯 섹시한느낌~^^한가지 단점은 제가 상체가 길어서저한텐 길이가 짧아요 배꼽티되버렸네요ㅎㅎ하이웨스트 바지랑 입어야겠어요암튼 색상 정말 장난아닙니다!!!예쁜옷 판매해주셔서 감사해영♡♡♡
770060597**|이 옷 진짜 매일 입음허리가 단추만 있으면 좀 불편할거같은데 밴딩처리 되어 있어서 좋음기장도 잘 맞음
770060597**|흰색컬러 무난하게 입을 수 있음그리고 옷이 쉽게 늘어날거 같지는 않음목 부분도 짱짱하고 좋음
kanghyun**|분홍색 빼고는 나머지 색상 다 구입했는데아이보리도 예쁘긴한데 목부분 때문인지약간 메리야스라고 해야하나..?런닝반팔느낌이 나긴하네요잘입으면 예쁜데 어떻게 보면 그런느낌..ㅎ그래도 재질굿 가격굿 맘에 들어요~~~♡그리고 제가 허리가 긴편이여서 길이는 조금 짧습니다
770060597**|그레이 색상 처음에 봤을 때는 엄청 칙칙하다고 생각했는데막상 입으면 괜춘함아무 바지나 잘 어울림
kanghyun**|검은색이랑 크게 색상차이가 없는것같아요차콜이 좀더 밝은느낌이랄까..?재질은 더 말도 할것없이 너무좋구요옷이 막늘어나거나 그러진 않아요팔부분도 길이가 짧지않고 길어서 팔뚝살도 커버돼요ㅎㅎㅎ
jy03**|지난주에 받아봤다가 티에 얼룩이 있어서 교환했어요! 이번엔 깨끗하네요ㅎㅎ 보통 그렇게 얼룩있으면 걍 반품해버리는데 이건 너무 예뻐서 교환했어요! 목부분도 잘 안늘어날것 같고 질도 조아요ㅜㅜ
kanghyun**|저번에 구입했는데 어머니가 재질이 좋고시원해보인다고 탐내셔서 어머니꺼 4개더 주문했어요~!찰랑찰랑해서 몸에 들러붙거나 하지않아 좋고요그레이 색상 생각보다 실물이 더좋네요~!♡여름에 땀나면 그레이는 피하게되는데이건 한번 도전해보려고 구입했어용ㅎㅎ
kanghyun**|색상 고민하다 저렴한가격에 두가지 다 구입했는데대 만족이예요~~!!^^ 화이트색상이 더 시원해보이긴 하구요저처럼 오프숄더 처음 입어보시는 분들께 적극추천합니당~~!아직 입고 나가진 않았는데조만간 외출할때 착용해보려구요ㅎㅎㅎ
770060597**|우선은 원하던 핏이었음소매가 팔꿈치를 살짝 덮는 정도의 옷을 찾고있었는데 딱임모델분처럼 청바지에 넣고 입으면 예쁨
kanghyun**|색상고민하다 결국 두개다 구입했는데검은색이 좀더 여리여리해보이는것 같아요오프숄더는 처음입어보는거라 어색한데나름 괜찮은것 같아요 팔부분이 나팔~?처럼 되어있어서 더 갸녀려보여요참고로 제가 어깨가 정말 넓은편인데그래서 그런지 어깨 드러나지 않는부분 목쪽이약간 불편하긴 하네요
hyeej**|예뻐요
kanghyun**|타쇼핑몰에서도 봤었는데 다른옷들 구입하면서같이 구매했어요~! 가운데에 귤그림이 싱그러우면서귀여워요 옷을 바지 안으로 넣어서 입는게 더 예쁠것같아요밖으로 다 빼입으면 약간 사각형?느낌이예요ㅋㅋ
60704847**|ㅎ.... 길이가너무짧아요 반품하는걸로....ㅎ
kanghyun**|이름대로 정말 찰랑찰랑하고6900원이라는게 믿기지않을 정도로 퀄리티가 좋아요제가 허리가 길어서 길이가 짧은감이 없지않아 있는데하이웨스트바지나 치마랑 코디해보려구요저희 어머니도 보시고 너무좋다고 하셔서추가로 3장더 구입했어요!~^^
guswl91**|이 가격에 이런 퀄리티에 코트라니 진짜 최곱니다 여기! 살짝 오버핏이긴 한데 안에 두꺼운 니트랑 입을거라서 괜찮을것같아요해외에 살고있어서 계절이 한국이랑 반대라 겨울 코트가 필요했어요 ㅠㅠ한국옷만 애용해서 항상 주문해서 한국에서 받아입는데 정말 잘 산거 같아요ㅎㅎ 잘 입을게요!
guswl91**|우와 이거 색 진짜 너무 이뻐요 한번도 본 적 없는 색의 니트에요 여기가 지금 겨울 이라 니트가 정말 필요한데 항상 베이직 한 컬러만 가지고있어서 이삭 구매해봤는데 잘 한거 같네요 ㅎㅎ 이뻐요 !
guswl91**|옷 한벌 값으로 두개를 얻은것 같아 너무 좋아여 재질도 색도 맘에 들고 니트는 그냥 따로 활용할수도있고 좋아요 지금 지가 사는 나라가 겨울이라 저한텐 요즘 날씨에 코트안에 입기에좋아요!
sj66881**|짧은 기장이지만 안에 바지도있고 시원한재질이여서 여름내내 넘 잘입을꺼같아요 ! 짧아서 다리도 길어보이고 다리도 얇아보여서 만족해요
sj66881**|기대안하고 시켰는데 생각보다 너무너무 예뻐서 깜짝놀랬어요 ㅠㅠㅠ 진짜 너무 제스타일이고 패턴이 촌스럽진 않을까 걱정 많이 했는데 하나도 안촌스러워 보이고 이뻐요 처음에 많이 비치길래 놀랬는데 나시 받쳐입으면 괜찮을만한 비침이여서 나름 여리여리해보이고 이뻐요 다들 사세욧 ,,!
769007011**|여리여리한 핏이라서 여성스럽고 ㅍ편하고 넘 맘에 들어요! 소재도 시원해서 요즘처럼 더울 때 자주 꺼내입게 되네요
jeny06**|업뎃 되자마자 바로 산 상품이에요 ! 날도 더워져서 스키니는 좀 부담스러운데 핏은 놓치고 싶지 않은 분들께 추천드릴게용 키가 많이 작아서 길까봐 걱정햇는데 하이웨스트라서 길이도 딱 맞고 허리도 꽉 잡아줘요 재질도 얇아서 초여름까지 입을 수 있을거같아요 색깔은 피팅사진보다 조금 연해요 참고하셔서 이바지 꼭꼭 사세요 오랜만에 만족하는 구매햇네용
akssust**|대존예입니다
akssust**|색이 많이 바래져서 나온것 같긴한데 핏이 예뻐서 만족.그래도 색상에 좀더 신경써주셨으면 좋겠어요!
